Archivo: Trazadora 1 VALIDOS.ACCDB
Provincia: FO - registros: 53286
Provincia: JU - registros: 13311
Provincia: LP - registros: 45928
Provincia: LR - registros: 2066
Provincia: MI - registros: 0
Provincia: MZ - registros: 12157
Provincia: NQ - registros: 9693
Provincia: RN - registros: 3235
Provincia: SC - registros: 29
Provincia: SA - registros: 634
Provincia: SG - registros: 1186
Provincia: SJ - registros: 2347
Provincia: SL - registros: 333
Provincia: TU - registros: 16346
Provincia: SF - registros: 90336
Provincia: TF - registros: 0
Archivo: Trazadora 1 VALIDOS.ACCDB
Provincia: general - registros: 10
Provincia: BA - registros: 0
Provincia: CA - registros: 0
Provincia: CB - registros: 0
Provincia: CC - registros: 0
Provincia: CH - registros: 0
Provincia: CO - registros: 0
Provincia: CR - registros: 0
Provincia: ER - registros: 0
Provincia: FO - registros: 0
Provincia: JU - registros: 0
Provincia: LP - registros: 0
Provincia: LR - registros: 0
Provincia: MI - registros: 0
Provincia: MZ - registros: 0
Provincia: NQ - registros: 0
Provincia: RN - registros: 0
Provincia: SC - registros: 0
Provincia: SA - registros: 0
Provincia: SG - registros: 0
Provincia: SJ - registros: 0
Provincia: SL - registros: 0
Provincia: TU - registros: 0
Provincia: SF - registros: 0
Provincia: TF - registros: 10
Archivo: Trazadora 1_Det VALIDOS.ACCDB
Provincia: general - registros: 87
Provincia: BA - registros: 0
Provincia: CA - registros: 0
Provincia: CB - registros: 0
Provincia: CC - registros: 0
Provincia: CH - registros: 0
Provincia: CO - registros: 0
Provincia: CR - registros: 0
Provincia: ER - registros: 0
Provincia: FO - registros: 0
Provincia: JU - registros: 0
Provincia: LP - registros: 0
Provincia: LR - registros: 0
Provincia: MI - registros: 0
Provincia: MZ - registros: 0
Provincia: NQ - registros: 0
Provincia: RN - registros: 0
Provincia: SC - registros: 0
Provincia: SA - registros: 0
Provincia: SG - registros: 0
Provincia: SJ - registros: 0
Provincia: SL - registros: 0
Provincia: TU - registros: 0
Provincia: SF - registros: 0
Provincia: TF - registros: 87
Archivo: Trazadora 2 VALIDOS.ACCDB
Provincia: general - registros: 2061
Provincia: BA - registros: 0
Provincia: CA - registros: 0
Provincia: CB - registros: 0
Provincia: CC - registros: 0
Provincia: CH - registros: 0
Provincia: CO - registros: 0
Provincia: CR - registros: 0
Provincia: ER - registros: 0
Provincia: FO - registros: 0
Provincia: JU - registros: 0
Provincia: LP - registros: 0
Provincia: LR - registros: 0
Provincia: MI - registros: 0
Provincia: MZ - registros: 0
Provincia: NQ - registros: 0
Provincia: RN - registros: 0
Provincia: SC - registros: 0
Provincia: SA - registros: 0
Provincia: SG - registros: 0
Provincia: SJ - registros: 0
Provincia: SL - registros: 0
Provincia: TU - registros: 0
Provincia: SF - registros: 0
Provincia: TF - registros: 2061
Archivo: Trazadora 2_Det VALIDOS.ACCDB
Provincia: general - registros: 2243
Provincia: BA - registros: 0
Provincia: CA - registros: 0
Provincia: CB - registros: 0
Provincia: CC - registros: 0
Provincia: CH - registros: 0
Provincia: CO - registros: 0
Provincia: CR - registros: 0
Provincia: ER - registros: 0
Provincia: FO - registros: 0
Provincia: JU - registros: 0
Provincia: LP - registros: 0
Provincia: LR - registros: 0
Provincia: MI - registros: 0
Provincia: MZ - registros: 0
Provincia: NQ - registros: 0
Provincia: RN - registros: 0
Provincia: SC - registros: 0
Provincia: SA - registros: 0
Provincia: SG - registros: 0
Provincia: SJ - registros: 0
Provincia: SL - registros: 0
Provincia: TU - registros: 0
Provincia: SF - registros: 0
Provincia: TF - registros: 2243
Archivo: Trazadora 3 VALIDOS.ACCDB
Provincia: general - registros: 606
Provincia: BA - registros: 0
Provincia: CA - registros: 0
Provincia: CB - registros: 0
Provincia: CC - registros: 0
Provincia: CH - registros: 0
Provincia: CO - registros: 0
Provincia: CR - registros: 0
Provincia: ER - registros: 0
Provincia: FO - registros: 0
Provincia: JU - registros: 0
Provincia: LP - registros: 0
Provincia: LR - registros: 0
Provincia: MI - registros: 0
Provincia: MZ - registros: 0
Provincia: NQ - registros: 0
Provincia: RN - registros: 0
Provincia: SC - registros: 0
Provincia: SA - registros: 0
Provincia: SG - registros: 0
Provincia: SJ - registros: 0
Provincia: SL - registros: 0
Provincia: TU - registros: 0
Provincia: SF - registros: 0
Provincia: TF - registros: 606
Archivo: Trazadora 3_Det VALIDOS.ACCDB
Provincia: general - registros: 607
Provincia: BA - registros: 0
Provincia: CA - registros: 0
Provincia: CB - registros: 0
Provincia: CC - registros: 0
Provincia: CH - registros: 0
Provincia: CO - registros: 0
Provincia: CR - registros: 0
Provincia: ER - registros: 0
Provincia: FO - registros: 0
Provincia: JU - registros: 0
Provincia: LP - registros: 0
Provincia: LR - registros: 0
Provincia: MI - registros: 0
Provincia: MZ - registros: 0
Provincia: NQ - registros: 0
Provincia: RN - registros: 0
Provincia: SC - registros: 0
Provincia: SA - registros: 0
Provincia: SG - registros: 0
Provincia: SJ - registros: 0
Provincia: SL - registros: 0
Provincia: TU - registros: 0
Provincia: SF - registros: 0
Provincia: TF - registros: 607
Archivo: Trazadora 4 VALIDOS.ACCDB
Provincia: general - registros: 49
Provincia: BA - registros: 0
Provincia: CA - registros: 0
Provincia: CB - registros: 0
Provincia: CC - registros: 0
Provincia: CH - registros: 0
Provincia: CO - registros: 0
Provincia: CR - registros: 0
Provincia: ER - registros: 0
Provincia: FO - registros: 0
Provincia: JU - registros: 0
Provincia: LP - registros: 0
Provincia: LR - registros: 0
Provincia: MI - registros: 0
Provincia: MZ - registros: 0
Provincia: NQ - registros: 0
Provincia: RN - registros: 0
Provincia: SC - registros: 0
Provincia: SA - registros: 0
Provincia: SG - registros: 0
Provincia: SJ - registros: 0
Provincia: SL - registros: 0
Provincia: TU - registros: 0
Provincia: SF - registros: 0
Provincia: TF - registros: 49
Archivo: Trazadora 4_Det VALIDOS.ACCDB
Provincia: general - registros: 98
Provincia: BA - registros: 0
Provincia: CA - registros: 0
Provincia: CB - registros: 0
Provincia: CC - registros: 0
Provincia: CH - registros: 0
Provincia: CO - registros: 0
Provincia: CR - registros: 0
Provincia: ER - registros: 0
Provincia: FO - registros: 0
Provincia: JU - registros: 0
Provincia: LP - registros: 0
Provincia: LR - registros: 0
Provincia: MI - registros: 0
Provincia: MZ - registros: 0
Provincia: NQ - registros: 0
Provincia: RN - registros: 0
Provincia: SC - registros: 0
Provincia: SA - registros: 0
Provincia: SG - registros: 0
Provincia: SJ - registros: 0
Provincia: SL - registros: 0
Provincia: TU - registros: 0
Provincia: SF - registros: 0
Provincia: TF - registros: 98
Archivo: Trazadora 5 VALIDOS.ACCDB
Provincia: general - registros: 275
Provincia: BA - registros: 0
Provincia: CA - registros: 0
Provincia: CB - registros: 0
Provincia: CC - registros: 0
Provincia: CH - registros: 0
Provincia: CO - registros: 0
Provincia: CR - registros: 0
Provincia: ER - registros: 0
Provincia: FO - registros: 0
Provincia: JU - registros: 0
Provincia: LP - registros: 0
Provincia: LR - registros: 0
Provincia: MI - registros: 0
Provincia: MZ - registros: 0
Provincia: NQ - registros: 0
Provincia: RN - registros: 0
Provincia: SC - registros: 0
Provincia: SA - registros: 0
Provincia: SG - registros: 0
Provincia: SJ - registros: 0
Provincia: SL - registros: 0
Provincia: TU - registros: 0
Provincia: SF - registros: 0
Provincia: TF - registros: 275
Archivo: Trazadora 6 VALIDOS.ACCDB
Provincia: general - registros: 6
Provincia: BA - registros: 0
Provincia: CA - registros: 0
Provincia: CB - registros: 0
Provincia: CC - registros: 0
Provincia: CH - registros: 0
Provincia: CO - registros: 0
Provincia: CR - registros: 0
Provincia: ER - registros: 0
Provincia: FO - registros: 0
Provincia: JU - registros: 0
Provincia: LP - registros: 0
Provincia: LR - registros: 0
Provincia: MI - registros: 0
Provincia: MZ - registros: 0
Provincia: NQ - registros: 0
Provincia: RN - registros: 0
Provincia: SC - registros: 0
Provincia: SA - registros: 0
Provincia: SG - registros: 0
Provincia: SJ - registros: 0
Provincia: SL - registros: 0
Provincia: TU - registros: 0
Provincia: SF - registros: 0
Provincia: TF - registros: 6
Archivo: Trazadora 6_Det VALIDOS.ACCDB
Provincia: general - registros: 22
Provincia: BA - registros: 0
Provincia: CA - registros: 0
Provincia: CB - registros: 0
Provincia: CC - registros: 0
Provincia: CH - registros: 0
Provincia: CO - registros: 0
Provincia: CR - registros: 0
Provincia: ER - registros: 0
Provincia: FO - registros: 0
Provincia: JU - registros: 0
Provincia: LP - registros: 0
Provincia: LR - registros: 0
Provincia: MI - registros: 0
Provincia: MZ - registros: 0
Provincia: NQ - registros: 0
Provincia: RN - registros: 0
Provincia: SC - registros: 0
Provincia: SA - registros: 0
Provincia: SG - registros: 0
Provincia: SJ - registros: 0
Provincia: SL - registros: 0
Provincia: TU - registros: 0
Provincia: SF - registros: 0
Provincia: TF - registros: 22
Archivo: Trazadora 7 VALIDOS.ACCDB
Provincia: general - registros: 1
Provincia: BA - registros: 0
Provincia: CA - registros: 0
Provincia: CB - registros: 0
Provincia: CC - registros: 0
Provincia: CH - registros: 0
Provincia: CO - registros: 0
Provincia: CR - registros: 0
Provincia: ER - registros: 0
Provincia: FO - registros: 0
Provincia: JU - registros: 0
Provincia: LP - registros: 0
Provincia: LR - registros: 0
Provincia: MI - registros: 0
Provincia: MZ - registros: 0
Provincia: NQ - registros: 0
Provincia: RN - registros: 0
Provincia: SC - registros: 0
Provincia: SA - registros: 0
Provincia: SG - registros: 0
Provincia: SJ - registros: 0
Provincia: SL - registros: 0
Provincia: TU - registros: 0
Provincia: SF - registros: 0
Provincia: TF - registros: 1
Archivo: Trazadora 7_Det VALIDOS.ACCDB
Provincia: general - registros: 0
Provincia: BA - registros: 0
Provincia: CA - registros: 0
Provincia: CB - registros: 0
Provincia: CC - registros: 0
Provincia: CH - registros: 0
Provincia: CO - registros: 0
Provincia: CR - registros: 0
Provincia: ER - registros: 0
Provincia: FO - registros: 0
Provincia: JU - registros: 0
Provincia: LP - registros: 0
Provincia: LR - registros: 0
Provincia: MI - registros: 0
Provincia: MZ - registros: 0
Provincia: NQ - registros: 0
Provincia: RN - registros: 0
Provincia: SC - registros: 0
Provincia: SA - registros: 0
Provincia: SG - registros: 0
Provincia: SJ - registros: 0
Provincia: SL - registros: 0
Provincia: TU - registros: 0
Provincia: SF - registros: 0
Provincia: TF - registros: 0
Archivo: Trazadora 8 VALIDOS.ACCDB
Provincia: general - registros: 252
Provincia: BA - registros: 0
Provincia: CA - registros: 0
Provincia: CB - registros: 0
Provincia: CC - registros: 0
Provincia: CH - registros: 0
Provincia: CO - registros: 0
Provincia: CR - registros: 0
Provincia: ER - registros: 0
Provincia: FO - registros: 0
Provincia: JU - registros: 0
Provincia: LP - registros: 0
Provincia: LR - registros: 0
Provincia: MI - registros: 0
Provincia: MZ - registros: 0
Provincia: NQ - registros: 0
Provincia: RN - registros: 0
Provincia: SC - registros: 0
Provincia: SA - registros: 0
Provincia: SG - registros: 0
Provincia: SJ - registros: 0
Provincia: SL - registros: 0
Provincia: TU - registros: 0
Provincia: SF - registros: 0
Provincia: TF - registros: 252
Archivo: Trazadora 9 VALIDOS.ACCDB
Provincia: general - registros: 251
Provincia: BA - registros: 0
Provincia: CA - registros: 0
Provincia: CB - registros: 0
Provincia: CC - registros: 0
Provincia: CH - registros: 0
Provincia: CO - registros: 0
Provincia: CR - registros: 0
Provincia: ER - registros: 0
Provincia: FO - registros: 0
Provincia: JU - registros: 0
Provincia: LP - registros: 0
Provincia: LR - registros: 0
Provincia: MI - registros: 0
Provincia: MZ - registros: 0
Provincia: NQ - registros: 0
Provincia: RN - registros: 0
Provincia: SC - registros: 0
Provincia: SA - registros: 0
Provincia: SG - registros: 0
Provincia: SJ - registros: 0
Provincia: SL - registros: 0
Provincia: TU - registros: 0
Provincia: SF - registros: 0
Provincia: TF - registros: 251
Archivo: Trazadora 9_Det VALIDOS.ACCDB
Provincia: general - registros: 1365
Provincia: BA - registros: 0
Provincia: CA - registros: 0
Provincia: CB - registros: 0
Provincia: CC - registros: 0
Provincia: CH - registros: 0
Provincia: CO - registros: 0
Provincia: CR - registros: 0
Provincia: ER - registros: 0
Provincia: FO - registros: 0
Provincia: JU - registros: 0
Provincia: LP - registros: 0
Provincia: LR - registros: 0
Provincia: MI - registros: 0
Provincia: MZ - registros: 0
Provincia: NQ - registros: 0
Provincia: RN - registros: 0
Provincia: SC - registros: 0
Provincia: SA - registros: 0
Provincia: SG - registros: 0
Provincia: SJ - registros: 0
Provincia: SL - registros: 0
Provincia: TU - registros: 0
Provincia: SF - registros: 0
Provincia: TF - registros: 1365
Archivo: Trazadora 1 VALIDOS.ACCDB
Provincia: general - registros: 4373
Provincia: BA - registros: 1638
Provincia: CA - registros: 36
Provincia: CB - registros: 334
Provincia: CC - registros: 146
Provincia: CH - registros: 29
Provincia: CO - registros: 175
Provincia: CR - registros: 150
Provincia: ER - registros: 195
Provincia: FO - registros: 84
Provincia: JU - registros: 116
Provincia: LP - registros: 246
Provincia: LR - registros: 28
Provincia: MI - registros: 54
Provincia: MZ - registros: 118
Provincia: NQ - registros: 166
Provincia: RN - registros: 21
Provincia: SC - registros: 56
Provincia: SA - registros: 0
Provincia: SG - registros: 160
Provincia: SJ - registros: 48
Provincia: SL - registros: 218
Provincia: TU - registros: 355
Provincia: SF - registros: 0
Provincia: TF - registros: 0
Archivo: Trazadora 10 VALIDOS.ACCDB
Provincia: general - registros: 325168
Provincia: BA - registros: 0
Provincia: CA - registros: 229
Provincia: CB - registros: 17978
Provincia: CC - registros: 14449
Provincia: CH - registros: 104
Provincia: CO - registros: 11072
Provincia: CR - registros: 8668
Provincia: ER - registros: 5373
Provincia: FO - registros: 0
Provincia: JU - registros: 24100
Provincia: LP - registros: 1339
Provincia: LR - registros: 17503
Provincia: MI - registros: 10370
Provincia: MZ - registros: 6
Provincia: NQ - registros: 7423
Provincia: RN - registros: 4654
Provincia: SC - registros: 0
Provincia: SA - registros: 0
Provincia: SG - registros: 59101
Provincia: SJ - registros: 134
Provincia: SL - registros: 27080
Provincia: TU - registros: 62594
Provincia: SF - registros: 52714
Provincia: TF - registros: 277
Archivo: Trazadora 1_Det VALIDOS.ACCDB
Provincia: general - registros: 37146
Provincia: BA - registros: 14019
Provincia: CA - registros: 296
Provincia: CB - registros: 2857
Provincia: CC - registros: 1219
Provincia: CH - registros: 248
Provincia: CO - registros: 1496
Provincia: CR - registros: 1276
Provincia: ER - registros: 1664
Provincia: FO - registros: 687
Provincia: JU - registros: 995
Provincia: LP - registros: 2117
Provincia: LR - registros: 235
Provincia: MI - registros: 452
Provincia: MZ - registros: 1010
Provincia: NQ - registros: 1408
Provincia: RN - registros: 179
Provincia: SC - registros: 476
Provincia: SA - registros: 0
Provincia: SG - registros: 1344
Provincia: SJ - registros: 420
Provincia: SL - registros: 1792
Provincia: TU - registros: 2956
Provincia: SF - registros: 0
Provincia: TF - registros: 0
Archivo: Trazadora 2 VALIDOS.ACCDB
Provincia: general - registros: 1659262
Provincia: BA - registros: 534036
Archivo: Trazadora 1 VALIDOS.ACCDB
Provincia: general - registros: 4373
Provincia: BA - registros: 1638
Provincia: CA - registros: 36
Provincia: CB - registros: 334
Provincia: CC - registros: 146
Provincia: CH - registros: 29
Provincia: CO - registros: 175
Provincia: CR - registros: 150
Provincia: ER - registros: 195
Provincia: FO - registros: 84
Provincia: JU - registros: 116
Provincia: LP - registros: 246
Provincia: LR - registros: 28
Provincia: MI - registros: 54
Provincia: MZ - registros: 118
Provincia: NQ - registros: 166
Provincia: RN - registros: 21
Provincia: SC - registros: 56
Provincia: SA - registros: 0
Provincia: SG - registros: 160
Provincia: SJ - registros: 48
Provincia: SL - registros: 218
Provincia: TU - registros: 355
Provincia: SF - registros: 0
Provincia: TF - registros: 0
Archivo: Trazadora 10 VALIDOS.ACCDB
Provincia: general - registros: 325168
Provincia: BA - registros: 0
Provincia: CA - registros: 229
Provincia: CB - registros: 17978
Provincia: CC - registros: 14449
Provincia: CH - registros: 104
Provincia: CO - registros: 11072
Provincia: CR - registros: 8668
Provincia: ER - registros: 5373
Provincia: FO - registros: 0
Provincia: JU - registros: 24100
Provincia: LP - registros: 1339
Provincia: LR - registros: 17503
Provincia: MI - registros: 10370
Provincia: MZ - registros: 6
Provincia: NQ - registros: 7423
Provincia: RN - registros: 4654
Provincia: SC - registros: 0
Provincia: SA - registros: 0
Provincia: SG - registros: 59101
Provincia: SJ - registros: 134
Provincia: SL - registros: 27080
Provincia: TU - registros: 62594
Provincia: SF - registros: 52714
Provincia: TF - registros: 277
Archivo: Trazadora 1_Det VALIDOS.ACCDB
Provincia: general - registros: 37146
Provincia: BA - registros: 14019
Provincia: CA - registros: 296
Provincia: CB - registros: 2857
Provincia: CC - registros: 1219
Provincia: CH - registros: 248
Provincia: CO - registros: 1496
Provincia: CR - registros: 1276
Provincia: ER - registros: 1664
Provincia: FO - registros: 687
Provincia: JU - registros: 995
Provincia: LP - registros: 2117
Provincia: LR - registros: 235
Provincia: MI - registros: 452
Provincia: MZ - registros: 1010
Provincia: NQ - registros: 1408
Provincia: RN - registros: 179
Provincia: SC - registros: 476
Provincia: SA - registros: 0
Provincia: SG - registros: 1344
Provincia: SJ - registros: 420
Provincia: SL - registros: 1792
Provincia: TU - registros: 2956
Provincia: SF - registros: 0
Provincia: TF - registros: 0
Archivo: Trazadora 2 VALIDOS.ACCDB
Provincia: general - registros: 1659262
Provincia: BA - registros: 534036
Provincia: CA - registros: 13347
Provincia: CB - registros: 45178
Provincia: CC - registros: 83330
Provincia: CH - registros: 8955
Provincia: CO - registros: 135948
Provincia: CR - registros: 53329
Provincia: ER - registros: 54179
Provincia: FO - registros: 32971
Provincia: JU - registros: 42782
Provincia: LP - registros: 18579
Provincia: LR - registros: 15626
Provincia: MI - registros: 90210
Provincia: MZ - registros: 70477
Provincia: NQ - registros: 25905
Provincia: RN - registros: 20414
Provincia: SC - registros: 3274
Provincia: SA - registros: 74527
Provincia: SG - registros: 72755
Provincia: SJ - registros: 29876
Provincia: SL - registros: 23446
Provincia: TU - registros: 111684
Provincia: SF - registros: 98433
Provincia: TF - registros: 1
Archivo: Trazadora 2_Det VALIDOS.ACCDB
Provincia: general - registros: 1746120
Provincia: BA - registros: 554724
Provincia: CA - registros: 13927
Provincia: CB - registros: 45963
Provincia: CC - registros: 93415
Provincia: CH - registros: 9235
Provincia: CO - registros: 142160
Provincia: CR - registros: 55030
Provincia: ER - registros: 58888
Provincia: FO - registros: 37198
Provincia: JU - registros: 44015
Provincia: LP - registros: 20190
Provincia: LR - registros: 16336
Provincia: MI - registros: 97066
Provincia: MZ - registros: 70526
Provincia: NQ - registros: 28428
Provincia: RN - registros: 21810
Provincia: SC - registros: 3339
Provincia: SA - registros: 77146
Provincia: SG - registros: 75884
Provincia: SJ - registros: 30985
Provincia: SL - registros: 25121
Provincia: TU - registros: 126193
Provincia: SF - registros: 98540
Provincia: TF - registros: 1
Archivo: Trazadora 3 VALIDOS.ACCDB
Provincia: general - registros: 879771
Provincia: BA - registros: 261163
Provincia: CA - registros: 7373
Provincia: CB - registros: 20348
Provincia: CC - registros: 38428
Provincia: CH - registros: 3832
Provincia: CO - registros: 89798
Provincia: CR - registros: 38474
Provincia: ER - registros: 26466
Provincia: FO - registros: 11140
Provincia: JU - registros: 22523
Provincia: LP - registros: 12821
Provincia: LR - registros: 7958
Provincia: MI - registros: 53315
Provincia: MZ - registros: 35731
Provincia: NQ - registros: 5642
Provincia: RN - registros: 10147
Provincia: SC - registros: 571
Provincia: SA - registros: 46018
Provincia: SG - registros: 56993
Provincia: SJ - registros: 9832
Provincia: SL - registros: 15666
Provincia: TU - registros: 52579
Provincia: SF - registros: 52953
Provincia: TF - registros: 0
Archivo: Trazadora 3_Det VALIDOS.ACCDB
Provincia: general - registros: 888383
Provincia: BA - registros: 263962
Provincia: CA - registros: 7444
Provincia: CB - registros: 20349
Provincia: CC - registros: 38870
Provincia: CH - registros: 3836
Provincia: CO - registros: 90494
Provincia: CR - registros: 38822
Provincia: ER - registros: 26685
Provincia: FO - registros: 11308
Provincia: JU - registros: 22668
Provincia: LP - registros: 12930
Provincia: LR - registros: 8012
Provincia: MI - registros: 54495
Provincia: MZ - registros: 35731
Provincia: NQ - registros: 5660
Provincia: RN - registros: 10178
Provincia: SC - registros: 572
Provincia: SA - registros: 46212
Provincia: SG - registros: 58067
Provincia: SJ - registros: 9879
Provincia: SL - registros: 15759
Provincia: TU - registros: 53497
Provincia: SF - registros: 52953
Provincia: TF - registros: 0
Archivo: Trazadora 4 VALIDOS.ACCDB
Provincia: general - registros: 17242
Provincia: BA - registros: 7387
Provincia: CA - registros: 5
Provincia: CB - registros: 446
Provincia: CC - registros: 1813
Provincia: CH - registros: 24
Provincia: CO - registros: 93
Provincia: CR - registros: 6
Provincia: ER - registros: 0
Provincia: FO - registros: 788
Provincia: JU - registros: 573
Provincia: LP - registros: 682
Provincia: LR - registros: 36
Provincia: MI - registros: 0
Provincia: MZ - registros: 0
Provincia: NQ - registros: 77
Provincia: RN - registros: 70
Provincia: SC - registros: 0
Provincia: SA - registros: 66
Provincia: SG - registros: 2682
Provincia: SJ - registros: 148
Provincia: SL - registros: 258
Provincia: TU - registros: 1031
Provincia: SF - registros: 1057
Provincia: TF - registros: 0
Archivo: Trazadora 4_Det VALIDOS.ACCDB
Provincia: general - registros: 34484
Provincia: BA - registros: 14774
Provincia: CA - registros: 10
Provincia: CB - registros: 892
Provincia: CC - registros: 3626
Provincia: CH - registros: 48
Provincia: CO - registros: 186
Provincia: CR - registros: 12
Provincia: ER - registros: 0
Provincia: FO - registros: 1576
Provincia: JU - registros: 1146
Provincia: LP - registros: 1364
Provincia: LR - registros: 72
Provincia: MI - registros: 0
Provincia: MZ - registros: 0
Provincia: NQ - registros: 154
Provincia: RN - registros: 140
Provincia: SC - registros: 0
Provincia: SA - registros: 132
Provincia: SG - registros: 5364
Provincia: SJ - registros: 296
Provincia: SL - registros: 516
Provincia: TU - registros: 2062
Provincia: SF - registros: 2114
Provincia: TF - registros: 0
Archivo: Trazadora 5 VALIDOS.ACCDB
Provincia: general - registros: 12390
Provincia: BA - registros: 857
Provincia: CA - registros: 76
Provincia: CB - registros: 1581
Provincia: CC - registros: 344
Provincia: CH - registros: 103
Provincia: CO - registros: 128
Provincia: CR - registros: 24
Provincia: ER - registros: 270
Provincia: FO - registros: 1
Provincia: JU - registros: 61
Provincia: LP - registros: 1095
Provincia: LR - registros: 20
Provincia: MI - registros: 2306
Provincia: MZ - registros: 649
Provincia: NQ - registros: 2644
Provincia: RN - registros: 757
Provincia: SC - registros: 18
Provincia: SA - registros: 0
Provincia: SG - registros: 0
Provincia: SJ - registros: 535
Provincia: SL - registros: 15
Provincia: TU - registros: 468
Provincia: SF - registros: 372
Provincia: TF - registros: 66
Archivo: Trazadora 6 VALIDOS.ACCDB
Provincia: general - registros: 1700
Provincia: BA - registros: 151
Provincia: CA - registros: 5
Provincia: CB - registros: 153
Provincia: CC - registros: 112
Provincia: CH - registros: 65
Provincia: CO - registros: 78
Provincia: CR - registros: 42
Provincia: ER - registros: 30
Provincia: FO - registros: 40
Provincia: JU - registros: 82
Provincia: LP - registros: 29
Provincia: LR - registros: 17
Provincia: MI - registros: 81
Provincia: MZ - registros: 77
Provincia: NQ - registros: 68
Provincia: RN - registros: 49
Provincia: SC - registros: 13
Provincia: SA - registros: 54
Provincia: SG - registros: 40
Provincia: SJ - registros: 29
Provincia: SL - registros: 84
Provincia: TU - registros: 95
Provincia: SF - registros: 303
Provincia: TF - registros: 3
Archivo: Trazadora 6_Det VALIDOS.ACCDB
Provincia: general - registros: 33463
Provincia: BA - registros: 302
Provincia: CA - registros: 30
Provincia: CB - registros: 728
Provincia: CC - registros: 401
Provincia: CH - registros: 131
Provincia: CO - registros: 175
Provincia: CR - registros: 102
Provincia: ER - registros: 87
Provincia: FO - registros: 91
Provincia: JU - registros: 544
Provincia: LP - registros: 74
Provincia: LR - registros: 117
Provincia: MI - registros: 242
Provincia: MZ - registros: 398
Provincia: NQ - registros: 143
Provincia: RN - registros: 220
Provincia: SC - registros: 48
Provincia: SA - registros: 503
Provincia: SG - registros: 81
Provincia: SJ - registros: 65
Provincia: SL - registros: 27587
Provincia: TU - registros: 228
Provincia: SF - registros: 1160
Provincia: TF - registros: 6
Archivo: Trazadora 7 VALIDOS.ACCDB
Provincia: general - registros: 852
Provincia: BA - registros: 193
Provincia: CA - registros: 13
Provincia: CB - registros: 84
Provincia: CC - registros: 21
Provincia: CH - registros: 5
Provincia: CO - registros: 68
Provincia: CR - registros: 21
Provincia: ER - registros: 5
Provincia: FO - registros: 18
Provincia: JU - registros: 16
Provincia: LP - registros: 8
Provincia: LR - registros: 5
Provincia: MI - registros: 27
Provincia: MZ - registros: 43
Provincia: NQ - registros: 20
Provincia: RN - registros: 20
Provincia: SC - registros: 10
Provincia: SA - registros: 4
Provincia: SG - registros: 12
Provincia: SJ - registros: 38
Provincia: SL - registros: 51
Provincia: TU - registros: 33
Provincia: SF - registros: 136
Provincia: TF - registros: 1
Archivo: Trazadora 7_Det VALIDOS.ACCDB
Provincia: general - registros: 16187
Provincia: BA - registros: 386
Provincia: CA - registros: 41
Provincia: CB - registros: 364
Provincia: CC - registros: 75
Provincia: CH - registros: 10
Provincia: CO - registros: 150
Provincia: CR - registros: 60
Provincia: ER - registros: 16
Provincia: FO - registros: 38
Provincia: JU - registros: 32
Provincia: LP - registros: 16
Provincia: LR - registros: 43
Provincia: MI - registros: 106
Provincia: MZ - registros: 200
Provincia: NQ - registros: 43
Provincia: RN - registros: 59
Provincia: SC - registros: 36
Provincia: SA - registros: 19
Provincia: SG - registros: 37
Provincia: SJ - registros: 112
Provincia: SL - registros: 13721
Provincia: TU - registros: 74
Provincia: SF - registros: 545
Provincia: TF - registros: 4
Archivo: Trazadora 8 VALIDOS.ACCDB
Provincia: general - registros: 60597
Provincia: BA - registros: 11169
Provincia: CA - registros: 254
Provincia: CB - registros: 5441
Provincia: CC - registros: 1918
Provincia: CH - registros: 259
Provincia: CO - registros: 4185
Provincia: CR - registros: 1183
Provincia: ER - registros: 1846
Provincia: FO - registros: 631
Provincia: JU - registros: 641
Provincia: LP - registros: 4635
Provincia: LR - registros: 419
Provincia: MI - registros: 296
Provincia: MZ - registros: 794
Provincia: NQ - registros: 3432
Provincia: RN - registros: 1362
Provincia: SC - registros: 0
Provincia: SA - registros: 260
Provincia: SG - registros: 845
Provincia: SJ - registros: 3200
Provincia: SL - registros: 550
Provincia: TU - registros: 3958
Provincia: SF - registros: 13318
Provincia: TF - registros: 1
Archivo: Trazadora 9 VALIDOS.ACCDB
Provincia: general - registros: 31409
Provincia: BA - registros: 10100
Provincia: CA - registros: 55
Provincia: CB - registros: 1532
Provincia: CC - registros: 818
Provincia: CH - registros: 3
Provincia: CO - registros: 883
Provincia: CR - registros: 0
Provincia: ER - registros: 474
Provincia: FO - registros: 3058
Provincia: JU - registros: 1775
Provincia: LP - registros: 3221
Provincia: LR - registros: 484
Provincia: MI - registros: 0
Provincia: MZ - registros: 229
Provincia: NQ - registros: 1212
Provincia: RN - registros: 349
Provincia: SC - registros: 0
Provincia: SA - registros: 99
Provincia: SG - registros: 479
Provincia: SJ - registros: 0
Provincia: SL - registros: 144
Provincia: TU - registros: 3127
Provincia: SF - registros: 3367
Provincia: TF - registros: 0
Archivo: Trazadora 9_Det VALIDOS.ACCDB
Provincia: general - registros: 327328
Provincia: BA - registros: 96911
Provincia: CA - registros: 285
Provincia: CB - registros: 15316
Provincia: CC - registros: 6862
Provincia: CH - registros: 6
Provincia: CO - registros: 4991
Provincia: CR - registros: 0
Provincia: ER - registros: 1505
Provincia: FO - registros: 41323
Provincia: JU - registros: 9719
Provincia: LP - registros: 59210
